Orthogroup	Coffea_canephora	Cuscuta_australis	Cuscuta_campestris	Ipomoea_aquatica	Ipomoea_batatas	Ipomoea_nil	Ipomoea_trifida	Ipomoea_triloba	Solanum_lycopersicum	Vitis_vinifera
OG0037640	Cc01_g00050									
OG0037641	Cc01_g00090									
OG0037642	Cc01_g00110									
OG0037643	Cc01_g00170									
OG0037644	Cc01_g00580									
OG0037645	Cc01_g00660									
OG0037646	Cc01_g00680									
OG0037647	Cc01_g00710									
OG0037648	Cc01_g00770									
OG0037649	Cc01_g00870									
OG0037650	Cc01_g00940									
OG0037651	Cc01_g01150									
OG0037652	Cc01_g01220									
OG0037653	Cc01_g01230									
OG0037654	Cc01_g01240									
OG0037655	Cc01_g01270									
OG0037656	Cc01_g01360									
OG0037657	Cc01_g01380									
OG0037658	Cc01_g01410									
OG0037659	Cc01_g01640									
OG0037660	Cc01_g01810									
OG0037661	Cc01_g01890									
OG0037662	Cc01_g01900									
OG0037663	Cc01_g01990									
OG0037664	Cc01_g02370									
OG0037665	Cc01_g02550									
OG0037666	Cc01_g02570									
OG0037667	Cc01_g02580									
OG0037668	Cc01_g02590									
OG0037669	Cc01_g02700									
OG0037670	Cc01_g02720									
OG0037671	Cc01_g02730									
OG0037672	Cc01_g02740									
OG0037673	Cc01_g02750									
OG0037674	Cc01_g02820									
OG0037675	Cc01_g02850									
OG0037676	Cc01_g02880									
OG0037677	Cc01_g03070									
OG0037678	Cc01_g03080									
OG0037679	Cc01_g03120									
OG0037680	Cc01_g03470									
OG0037681	Cc01_g03690									
OG0037682	Cc01_g03710									
OG0037683	Cc01_g03790									
OG0037684	Cc01_g03840									
OG0037685	Cc01_g03890									
OG0037686	Cc01_g03900									
OG0037687	Cc01_g04080									
OG0037688	Cc01_g04090									
OG0037689	Cc01_g04100									
OG0037690	Cc01_g04210									
OG0037691	Cc01_g04360									
OG0037692	Cc01_g04370									
OG0037693	Cc01_g04420									
OG0037694	Cc01_g04430									
OG0037695	Cc01_g04500									
OG0037696	Cc01_g04580									
OG0037697	Cc01_g04590									
OG0037698	Cc01_g04770									
OG0037699	Cc01_g04800									
OG0037700	Cc01_g04830									
OG0037701	Cc01_g04870									
OG0037702	Cc01_g04930									
OG0037703	Cc01_g04990									
OG0037704	Cc01_g05010									
OG0037705	Cc01_g05080									
OG0037706	Cc01_g05120									
OG0037707	Cc01_g05210									
OG0037708	Cc01_g05350									
OG0037709	Cc01_g05590									
OG0037710	Cc01_g05770									
OG0037711	Cc01_g05840									
OG0037712	Cc01_g05850									
OG0037713	Cc01_g05920									
OG0037714	Cc01_g05930									
OG0037715	Cc01_g05940									
OG0037716	Cc01_g05950									
OG0037717	Cc01_g06250									
OG0037718	Cc01_g06350									
OG0037719	Cc01_g06420									
OG0037720	Cc01_g06510									
OG0037721	Cc01_g06570									
OG0037722	Cc01_g06620									
OG0037723	Cc01_g06840									
OG0037724	Cc01_g06850									
OG0037725	Cc01_g06940									
OG0037726	Cc01_g06950									
OG0037727	Cc01_g07000									
OG0037728	Cc01_g07210									
OG0037729	Cc01_g07310									
OG0037730	Cc01_g07340									
OG0037731	Cc01_g07350									
OG0037732	Cc01_g07470									
OG0037733	Cc01_g07650									
OG0037734	Cc01_g07660									
OG0037735	Cc01_g07700									
OG0037736	Cc01_g07970									
OG0037737	Cc01_g08400									
OG0037738	Cc01_g08450									
OG0037739	Cc01_g08500									
OG0037740	Cc01_g08560									
OG0037741	Cc01_g08800									
OG0037742	Cc01_g08810									
OG0037743	Cc01_g08970									
OG0037744	Cc01_g09020									
OG0037745	Cc01_g09030									
OG0037746	Cc01_g09060									
OG0037747	Cc01_g09120									
OG0037748	Cc01_g09300									
OG0037749	Cc01_g09470									
OG0037750	Cc01_g09660									
OG0037751	Cc01_g09800									
OG0037752	Cc01_g09860									
OG0037753	Cc01_g09980									
OG0037754	Cc01_g10130									
OG0037755	Cc01_g10150									
OG0037756	Cc01_g10180									
OG0037757	Cc01_g10270									
OG0037758	Cc01_g10280									
OG0037759	Cc01_g10300									
OG0037760	Cc01_g10820									
OG0037761	Cc01_g10840									
OG0037762	Cc01_g10850									
OG0037763	Cc01_g10890									
OG0037764	Cc01_g11040									
OG0037765	Cc01_g11200									
OG0037766	Cc01_g11260									
OG0037767	Cc01_g11280									
OG0037768	Cc01_g11330									
OG0037769	Cc01_g11340									
OG0037770	Cc01_g11460									
OG0037771	Cc01_g11620									
OG0037772	Cc01_g11830									
OG0037773	Cc01_g11970									
OG0037774	Cc01_g12130									
OG0037775	Cc01_g12200									
OG0037776	Cc01_g12340									
OG0037777	Cc01_g12430									
OG0037778	Cc01_g12540									
OG0037779	Cc01_g12560									
OG0037780	Cc01_g12620									
OG0037781	Cc01_g12810									
OG0037782	Cc01_g12880									
OG0037783	Cc01_g12970									
OG0037784	Cc01_g13870									
OG0037785	Cc01_g13920									
OG0037786	Cc01_g13990									
OG0037787	Cc01_g14060									
OG0037788	Cc01_g14210									
OG0037789	Cc01_g14400									
OG0037790	Cc01_g14980									
OG0037791	Cc01_g15300									
OG0037792	Cc01_g15460									
OG0037793	Cc01_g15670									
OG0037794	Cc01_g15930									
OG0037795	Cc01_g16090									
OG0037796	Cc01_g16170									
OG0037797	Cc01_g16230									
OG0037798	Cc01_g16260									
OG0037799	Cc01_g16650									
OG0037800	Cc01_g17070									
OG0037801	Cc01_g17170									
OG0037802	Cc01_g17580									
OG0037803	Cc01_g18490									
OG0037804	Cc01_g18550									
OG0037805	Cc01_g18600									
OG0037806	Cc01_g18650									
OG0037807	Cc01_g18700									
OG0037808	Cc01_g18720									
OG0037809	Cc01_g18790									
OG0037810	Cc01_g18900									
OG0037811	Cc01_g19080									
OG0037812	Cc01_g19170									
OG0037813	Cc01_g19200									
OG0037814	Cc01_g19210									
OG0037815	Cc01_g19220									
OG0037816	Cc01_g19370									
OG0037817	Cc01_g19530									
OG0037818	Cc01_g19700									
OG0037819	Cc01_g19850									
OG0037820	Cc01_g19910									
OG0037821	Cc01_g19950									
OG0037822	Cc01_g19970									
OG0037823	Cc01_g20130									
OG0037824	Cc01_g20230									
OG0037825	Cc01_g20310									
OG0037826	Cc01_g20550									
OG0037827	Cc01_g20690									
OG0037828	Cc01_g20710									
OG0037829	Cc01_g20780									
OG0037830	Cc01_g20840									
OG0037831	Cc01_g21080									
OG0037832	Cc01_g21130									
OG0037833	Cc01_g21190									
OG0037834	Cc01_g21230									
OG0037835	Cc01_g21250									
OG0037836	Cc01_g21400									
OG0037837	Cc01_g21420									
OG0037838	Cc01_g21700									
OG0037839	Cc01_g21730									
OG0037840	Cc02_g00060									
OG0037841	Cc02_g00070									
OG0037842	Cc02_g00140									
OG0037843	Cc02_g00460									
OG0037844	Cc02_g00500									
OG0037845	Cc02_g01000									
OG0037846	Cc02_g01080									
OG0037847	Cc02_g01120									
OG0037848	Cc02_g01160									
OG0037849	Cc02_g01180									
OG0037850	Cc02_g01200									
OG0037851	Cc02_g01430									
OG0037852	Cc02_g01460									
OG0037853	Cc02_g01490									
OG0037854	Cc02_g01580									
OG0037855	Cc02_g01970									
OG0037856	Cc02_g02090									
OG0037857	Cc02_g02470									
OG0037858	Cc02_g02650									
OG0037859	Cc02_g03060									
OG0037860	Cc02_g03090									
OG0037861	Cc02_g03260									
OG0037862	Cc02_g03490									
OG0037863	Cc02_g03510									
OG0037864	Cc02_g04110									
OG0037865	Cc02_g04290									
OG0037866	Cc02_g04390									
OG0037867	Cc02_g04660									
OG0037868	Cc02_g04760									
OG0037869	Cc02_g04890									
OG0037870	Cc02_g04900									
OG0037871	Cc02_g05070									
OG0037872	Cc02_g05090									
OG0037873	Cc02_g05170									
OG0037874	Cc02_g05300									
OG0037875	Cc02_g05620									
OG0037876	Cc02_g05690									
OG0037877	Cc02_g05930									
OG0037878	Cc02_g06170									
OG0037879	Cc02_g06270									
OG0037880	Cc02_g06290									
OG0037881	Cc02_g06340									
OG0037882	Cc02_g06380									
OG0037883	Cc02_g06460									
OG0037884	Cc02_g06520									
OG0037885	Cc02_g06540									
OG0037886	Cc02_g06550									
OG0037887	Cc02_g06690									
OG0037888	Cc02_g06710									
OG0037889	Cc02_g07080									
OG0037890	Cc02_g07450									
OG0037891	Cc02_g07610									
OG0037892	Cc02_g07710									
OG0037893	Cc02_g07780									
OG0037894	Cc02_g07880									
OG0037895	Cc02_g07940									
OG0037896	Cc02_g08230									
OG0037897	Cc02_g08280									
OG0037898	Cc02_g08290									
OG0037899	Cc02_g08630									
OG0037900	Cc02_g08750									
OG0037901	Cc02_g08830									
OG0037902	Cc02_g09020									
OG0037903	Cc02_g09440									
OG0037904	Cc02_g09780									
OG0037905	Cc02_g09810									
OG0037906	Cc02_g09930									
OG0037907	Cc02_g10000									
OG0037908	Cc02_g10090									
OG0037909	Cc02_g10730									
OG0037910	Cc02_g10780									
OG0037911	Cc02_g10790									
OG0037912	Cc02_g10830									
OG0037913	Cc02_g10860									
OG0037914	Cc02_g11010									
OG0037915	Cc02_g11400									
OG0037916	Cc02_g11850									
OG0037917	Cc02_g12120									
OG0037918	Cc02_g12210									
OG0037919	Cc02_g12280									
OG0037920	Cc02_g12540									
OG0037921	Cc02_g12660									
OG0037922	Cc02_g12730									
OG0037923	Cc02_g12820									
OG0037924	Cc02_g12950									
OG0037925	Cc02_g12960									
